settings_1,settings_2,snr,parameter.ID,T,fp_1,fp_2,fp_3,fp_4,fn_1,fn_2,fn_3,fn_4,mse_1,mse_2,mse_3,mse_4,compTime_1,compTime_2,compTime_3,compTime_4,converged_1,converged_2,converged_3,converged_4
15,0.05,0.991120604019158,18,2000,10,6,8,4,0,0,0,0,8.96819970908856e-05,8.95641802461665e-05,8.96736160177122e-05,8.94926223568321e-05,85.491346,422.183919,88.174227,270.464006,0,0,0,0
15,0.01,0.852203444748225,19,500,10,11,12,7,0,0,0,0,2.1758331294123e-06,7.23354469477594e-05,9.49859372608403e-06,2.09867294896928e-06,42.148316,155.61365,42.381716,146.220696,0,0,0,0
15,0.01,0.658744996759514,19,500,13,6,11,6,0,0,0,0,1.92608595010959e-05,8.28296201970522e-06,1.411568087308e-05,1.34038634001603e-05,31.391403,127.333406,35.811206,124.963527,0,0,0,0
15,0.01,0.793907638873599,19,500,7,1,4,0,0,0,0,0,9.84872041287408e-06,1.05474580997863e-05,9.67320184548181e-06,1.02809648091937e-05,39.928371,150.873408,35.989144,142.82352,0,0,0,0
15,0.01,0.86437282972663,19,500,12,2,6,1,0,0,0,0,6.19399700466123e-06,1.04996633714114e-06,1.52560361351487e-06,8.95187781933035e-07,34.130135,142.429562,33.567793,140.256748,0,0,0,0
15,0.01,0.688925909376341,19,500,4,2,5,2,0,0,0,0,1.20662835695742e-06,7.11188148876015e-07,1.29418720815778e-06,7.11188148876015e-07,33.882028,142.381456,33.681374,131.808573,0,0,0,0
15,0.01,0.750069257556004,19,1000,8,7,8,9,0,0,0,0,6.4335350969624e-06,6.4416585027725e-06,6.4335350969624e-06,4.0089667930622e-05,58.865712,217.812205,47.655564,200.852205,0,0,0,0
15,0.01,0.980028501940701,19,1000,9,5,9,4,0,0,0,0,1.47581801561614e-05,1.47022140404234e-05,1.47581801561614e-05,1.46686777727718e-05,61.244346,234.48263,58.006544,212.932851,0,0,0,0
15,0.01,0.874128733570805,19,1000,9,3,7,1,0,0,0,0,1.9069564232123e-06,1.70873364301419e-06,1.85872614437301e-06,1.62551087241653e-06,60.464146,220.868961,53.625737,184.381016,0,0,0,0
15,0.01,0.784305311326337,19,1000,4,1,4,1,0,0,0,0,1.43015659477267e-06,1.28261731698855e-06,1.43015659477267e-06,1.28261731698855e-06,60.435847,228.234381,49.164495,202.184384,0,0,0,0
15,0.01,0.919758450263652,19,1000,9,3,7,3,0,0,0,0,2.72991505454054e-06,2.9333153247626e-06,2.6966199068934e-06,2.9333153247626e-06,47.465252,212.262779,53.09129,200.708517,0,0,0,0
15,0.01,0.835477772723829,19,2000,4,4,4,4,0,0,0,0,4.49442166461979e-06,4.49442166461979e-06,4.49442166461979e-06,4.49442166461979e-06,130.714951,444.64498,106.651027,363.316299,0,0,0,0
15,0.01,0.750347723294152,19,2000,4,2,3,1,0,0,0,0,7.65195398952274e-07,6.55732193597202e-07,7.14347638647003e-07,5.73009616214829e-07,119.744967,456.292561,108.508889,390.702961,0,0,0,0
15,0.01,0.711735577467253,19,2000,1,0,0,0,0,0,0,0,1.99397252841566e-06,1.98839596725348e-06,1.98839596725348e-06,1.98839596725348e-06,110.094107,558.161215,98.066363,370.444845,0,0,0,0
15,0.01,1.04603960699288,19,2000,4,0,2,0,0,0,0,0,3.57885107767322e-07,2.93607474185028e-07,3.29187658916694e-07,2.93607474185028e-07,145.465041,541.187973,82.640615,393.137623,0,0,0,0
15,0.01,0.79264118286708,19,2000,0,0,0,0,0,0,0,0,6.01106629108761e-07,6.01106629108761e-07,6.01106629108761e-07,6.01106629108761e-07,143.950617,554.736339,87.451379,351.250185,0,0,0,0
15,0.02,0.981433163704954,20,500,11,6,9,5,0,0,0,0,1.49413613754751e-05,9.54466339233885e-06,1.42634625402809e-05,9.371737994217e-06,44.726773,159.223075,29.735622,138.790541,0,0,0,0
15,0.02,0.637092621808005,20,500,7,1,5,0,0,0,0,0,4.04035518413233e-05,3.93967064556702e-05,4.01571903531002e-05,3.87827912833765e-05,30.815563,154.795593,36.026732,140.977659,0,0,0,0
15,0.02,0.995699851643988,20,500,15,4,12,6,0,1,0,0,0.000148812034187287,0.000450350631374014,0.000111565525701764,0.000109335809933119,39.300701,165.881337,42.415581,123.773632,0,0,0,0
15,0.02,0.876664100502712,20,500,12,5,11,4,0,0,0,0,2.30040238631162e-05,9.27427120850504e-06,1.45514902338905e-05,9.17178257457998e-06,32.842989,142.855967,45.880461,148.939312,0,0,0,0
15,0.02,0.748289206359727,20,500,11,5,9,2,0,0,0,0,2.08132643348909e-05,1.96880204285991e-05,2.07246348395236e-05,1.89859611131592e-05,39.232469,155.927215,33.657496,138.484758,0,0,0,0
15,0.02,0.726497052334002,20,1000,5,5,4,4,0,0,0,0,4.70520421681432e-06,4.70520421681432e-06,4.62127550352644e-06,4.91098611934247e-06,65.351943,194.39144,56.782444,198.137283,0,0,0,0
15,0.02,0.718285722166967,20,1000,1,0,0,0,0,0,0,0,5.15536918857475e-06,5.0504137015473e-06,5.0504137015473e-06,5.0504137015473e-06,52.389507,225.800101,48.712468,179.294069,0,0,0,0
15,0.02,0.721005670160551,20,1000,6,1,1,0,0,0,0,0,7.05451278091378e-06,7.02976886026809e-06,7.02976886026809e-06,6.90985910987411e-06,50.844917,233.437332,51.703852,229.92667,0,0,0,0
15,0.02,0.914686109245002,20,1000,6,2,4,2,0,0,0,1,1.95280599732951e-06,1.82061109413436e-06,1.89338276868421e-06,0.000273456274367233,64.425817,226.598045,61.414438,201.917718,0,0,0,0
15,0.02,0.764158956733709,20,1000,10,3,8,3,0,0,0,0,2.09832959282823e-05,2.16877663693817e-05,2.11101816632478e-05,2.09879339512559e-05,52.383995,213.956024,48.852862,196.853922,0,0,0,0
15,0.02,0.70756700979295,20,2000,3,3,2,1,0,0,0,0,3.00023367386234e-05,3.00023367386234e-05,3.00169227873486e-05,2.99133608196777e-05,122.095516,410.815868,86.109617,293.912278,0,0,0,0
15,0.02,0.762190788254721,20,2000,2,0,0,0,0,0,0,0,1.13102962169343e-05,1.11384550231059e-05,1.11384550231059e-05,1.11384550231059e-05,81.300778,333.054326,87.844589,287.562141,0,0,0,0
15,0.02,0.791022439379233,20,2000,8,5,5,5,0,0,0,0,1.40901517243092e-05,1.40264427116684e-05,1.40264427116684e-05,1.40264427116684e-05,84.05501,311.183318,75.158379,313.773621,0,0,0,0
15,0.02,0.746274323310136,20,2000,1,1,0,1,0,0,0,0,5.12752182950081e-07,5.12752182950081e-07,4.25696462037087e-07,5.12752182950081e-07,105.341759,429.81552,107.090548,301.09684,0,0,0,0
15,0.02,0.745203422622133,20,2000,2,1,1,0,0,0,0,0,1.16752486529409e-05,1.16257108537363e-05,1.16257108537363e-05,1.15029100621161e-05,83.754293,409.150833,97.694255,295.797264,0,0,0,0
15,0.05,1.10710655194109,21,500,16,5,17,2,1,1,1,1,0.000180787801404627,0.000173838959740028,0.000180819846883243,0.000172441368651224,32.863641,146.174645,28.641622,129.648047,0,0,0,0
15,0.05,1.28660424927658,21,500,15,11,12,7,1,1,1,1,0.000301904616688518,0.000299253567403262,0.00030065639127181,0.000289655692919413,32.431705,154.365603,32.050311,139.278479,0,0,0,0
15,0.05,0.925988384770923,21,500,11,3,9,3,1,1,1,1,8.70946987194427e-05,8.32963038892712e-05,8.5968972739893e-05,8.32963038892712e-05,30.599801,128.407649,27.547078,131.8646,0,0,0,0
15,0.05,1.44549893969868,21,500,18,12,18,12,1,1,1,1,0.000218983412796845,0.000233534613732555,0.000218983412796845,0.00023186489028308,32.327229,173.518588,37.777344,157.464013,0,0,0,0
15,0.05,0.944951093123102,21,500,16,8,13,7,1,1,1,1,0.000387350040627203,0.000392136593718772,0.000385598933683519,0.000399338850031013,29.639911,142.942278,32.059017,138.812473,0,0,0,0
15,0.05,1.09985158775544,21,1000,15,15,11,1,1,0,1,1,0.000151816372030588,0.000128934573236475,0.000151031305976903,0.000151125983096896,52.673426,219.701506,42.237723,188.020513,0,0,0,0
15,0.05,1.09645917763315,21,1000,10,6,10,2,1,1,1,1,0.000141883804299921,0.000140410261957616,0.000141883804299921,0.000135127595528894,50.419058,216.568104,40.68181,178.467934,0,0,0,0
15,0.05,1.13827789483225,21,1000,11,2,10,2,1,1,1,1,0.000153333111075861,0.000150589415968489,0.000153501020703552,0.000150589415968489,52.18693,220.546426,51.965671,183.183138,0,0,0,0
15,0.05,1.0802873016916,21,1000,14,1,7,1,1,1,1,1,0.000183277511682607,0.00017816655535149,0.000178366613809513,0.00017816655535149,51.439269,216.106631,36.060763,190.304906,0,0,0,0
15,0.05,1.06618417392533,21,1000,9,6,7,6,1,1,2,1,0.000132514619198152,0.000130171635791587,0.00124832254273765,0.000130171635791587,44.290337,197.38405,48.267591,195.238836,0,0,0,0
15,0.05,1.03537607230923,21,2000,5,2,1,0,1,1,1,1,0.00010794062040469,0.000107693743775808,0.000107645033198976,0.000107482248358692,85.113546,353.571271,72.823665,319.108277,0,0,0,0
15,0.05,1.12396403325883,21,2000,6,1,2,0,1,1,1,1,0.000124727556880673,0.000124210027010805,0.000124457556288593,0.000125523737145664,100.646938,364.696408,73.799476,322.435391,0,0,0,0
15,0.05,0.918400215252023,21,2000,18,10,7,3,0,0,1,1,3.59594886357848e-05,3.25730774931454e-05,9.12476148501787e-05,9.17638267525355e-05,87.665383,458.742451,88.847129,276.450005,0,0,0,0
15,0.05,0.979829534554362,21,2000,3,2,0,0,1,1,1,1,7.02664669175186e-05,7.02520710667145e-05,6.97254182431521e-05,6.97254182431521e-05,109.70449,413.31028,107.902584,271.275703,0,0,0,0
15,0.05,1.13776783030616,21,2000,7,2,3,1,1,1,1,1,7.79476203758531e-05,7.74328350208037e-05,7.76621720149127e-05,7.74571997350527e-05,85.277859,350.608501,100.920001,285.270736,0,0,0,0
15,0.01,1.19778231122415,22,500,9,4,7,4,0,0,0,0,1.1393011519144e-06,9.54558504525932e-07,1.08759931306398e-06,9.54558504525932e-07,36.200308,165.936655,40.795843,135.322123,0,0,0,0
15,0.01,0.973046104871273,22,500,8,5,7,5,0,0,0,0,9.56754292880356e-06,9.3755886917267e-06,9.53436127784348e-06,9.3755886917267e-06,30.524685,146.197996,34.08601,143.2185,0,0,0,0
15,0.01,1.12945540443716,22,500,15,6,13,5,0,0,0,0,1.07514182601077e-05,7.74558392528171e-06,1.07283861400023e-05,7.70488124131535e-06,38.220904,141.534445,42.537412,164.313671,0,0,0,0
15,0.01,1.17146067119327,22,500,8,2,3,1,0,0,1,0,4.59115798150898e-05,4.56551247070049e-05,0.000883501411265804,4.56339728936819e-05,36.844424,135.294776,37.764735,152.128292,0,0,0,0
15,0.01,1.05173337891917,22,500,8,4,8,3,0,0,0,0,1.98433874908883e-05,1.8615949544657e-05,1.98433874908883e-05,1.854561403814e-05,34.881742,145.331292,38.003949,147.848467,0,0,0,0
15,0.01,1.13690633065978,22,1000,7,0,2,0,0,0,0,0,2.76702141438064e-05,2.75962769522034e-05,2.75511598864522e-05,2.75962769522034e-05,59.632499,221.45712,48.58283,194.809287,0,0,0,0
15,0.01,1.13208257947341,22,1000,6,2,6,2,0,0,0,0,1.23957749734515e-06,1.08778075543649e-06,1.23957749734515e-06,1.08778075543649e-06,57.650799,223.661783,59.737922,207.720878,0,0,0,0
15,0.01,1.22008537352113,22,1000,10,9,6,10,0,0,0,0,7.11569655692323e-07,7.01145935754006e-07,6.25179422068498e-07,2.4657368693935e-05,55.752198,209.624503,52.386126,224.520734,0,0,0,0
15,0.01,1.49779634737278,22,1000,13,4,13,5,0,0,0,0,5.57227572472091e-06,5.70238887004991e-06,5.57227572472091e-06,5.70480168653863e-06,60.684309,225.651299,58.235295,210.244083,0,0,0,0
